4D QL,4D Query Language
EOL,End Of Life
EPG,Electronic Programming Guide
EPIC,Explicitly Parallel Instruction Computing
EPROM,Erasable Programmable Read-Only Memory
ERP,Enterprise Resource Planning
ESD,Electronic Software Distribution
ESX,Elastic Sky X
EULA,End User License Agreement
EVA,EVA Prinzip (Eingabe+Verarbeitung+Ausgabe)
FAI,Fully Automatic Installation
FAQ,Frequently Asked Questions
FAT,File Allocation Table
FB,Facebook
FC,Fibre Channel
FD,Floppy Disk
FDD,Floppy Disk Drive
FDDI,Fiber Distributed Data Interface
FDM,Frequency Division Multiplexing
FDMA,Frequency Division Multiple Access
FEK,File Encryption Key
FEP,Front End Processor
FET,Field Effect Transistor
FGA,Floating Gate Array
FHSS,Frequency Hopping Spread Spectrum
FIFO,First In First Out
FIFO,First In – First Out
FILO,First In – Last Out
FLOPS,Floating Point Operations Per Second
FLOPS,Floating Point Operations per Second
FM,Frequency Modulation
FMS,File Management System
FOMO,Fear of Missing Out
FORTRAN,FORmula TRANslation
FOSS,Free and open-source software
FPGA,Field Programmable Gate Array
FPLA,Field Programmable Logic Array
FPP,Full Packaged Products
FQDN,Fully Qualified Domain Name
FSAA,Full Scene Antialiasing
FSB,Front Side Bus
FSK,Frequency Shift Keying
FSM,Finite State Machine
FTP,File Transfer Protocol
FTTH,Fibre To The Home
FUD,Fully Undetectable
FW,Firewall
FW,Forwarding
FaaS,Function as-a-Service
GA,Google Analytics
GB,Giga Bytes
GCLB,Google Cloud Load Balancer
GCP,Google Cloud Platform
GCS,Google Cloud Storage
GDPR,General Data Protection Regulation
GFLOPS,Giga FLOPS
GHz,Giga Hertz
GIF,Graphics Interchange Format
GMCH,Grapfhics and Memory Controller Hub
GNU,Gnu Not Unix
GPRS,General Packet Radio Service
GPU,Graphics Processing Unit
GRUB,Grand Unified Bootloader
GSM,Global System for Mobile communication
GUI,Graphical User Interface
HA,High Availability
HAC,High-availability Clusters
HAR,HTTP Archive
HDD,Hard Disk Drive
HDMI,High Definition Media Interface
HIP,Human Interaction Proof
HITS,Hyperlink-Induced Topic Search
HMD,Head Mounted Displays
HP CSA,HP Cloud Service Automation
HP,Hewlett Packard
HPC,High-Performance Compute
HPFS,High Performance File System
HSS,Hierarchical Storage System
HTML,HyperText Markup Language
HTML,Hypertext Markup Language
HTTP,HyperText Transport Protocol
HTTPS,HyperText Transport Protocol Secure
HVM,Hardware Virtual Machine
I/0,Input & Output
IAM,Identity & Access Management
IBM,International Business Machine
IC,Integrated Circuit
ICMP,Internet Control Message Protocol
ICS,IBM Cabling System
ICS,iCalendar
IDE,Integrated Development Environment
IDE,Integrated Device Electronics
IDN,Integrated Digital Networks
IE,Internet Explorer
IEC,International Electrotechnical Commission
IFTTT,If This Then That
IG,Internet Gateway
IMAP,Internet Message Access Protocol
IMS,Intelligent Maintenance Systems
IO,Insertion Order
IOPS,Input/output Operations Per Second
IP,Internet Protocol
IPO,input-process-output
IPSec,Internet Protocol Security
IPv4,Internet Protocol Version 4
IPv6,Internet Protocol Version 6
ISDN,Integrated Services Digital Network
ISO,International Organization for Standardization
ISP,Internet Service Provider
IT,Information Technology
IaaS,Infrastructure-as-a-Service
IoT,Internet Of Things
IrDA,Infrared Data Association
JCE,Java Cryptography Extension
JDK,Java Development Kit
JPEG,Joint Photographic Experts Group
JRE,Java Runtime Engine
JS,JavaScript
JSON,JavaScript Object Notation
JSP,Java Server Pages
JTC,Joint technical committee
Java EE,Java Enterprise Edition
KB,Kilo Bytes
KHz,Kilo Hertz
KMS,Key Management Service
KVM,Kernel-based Virtual Machine
LAN,Local Area Network
LB,Load Balancer
LCD,Liquid Crystal Display
LED,Light Emitting Diode
LFI,Local File Inclusion
LLT,Low Latency Transport
LNN,Learning Neural Networks
LPM,Line Per Minute
LSI,Large Scael Integration
LSI,Latent Semantic Indexing
LSTM,Long Short-term Memory
M2M,Machine to Machine
MAC,Media Access Control
MAC,Medium Access Control
MAN,Metropolitan Area Network
MAR,Memory Address Register
MB,Mega Bytes
MBR,Master Boot Record
MBR,Memory Buffer Register
MCH,Memory Controller Hub
MFA,Multi-Factor Authentication
MHz,Mega Hertz
MI,Machine Intelligence
MIDI,Musical Instrument Digital Interface
MIME,Multipurpose Internet Mail Extensions
MIPS,Millions of Instructions Per Second
MITM,Man in the Middle Attack
ML,Machine Learning
MNP,Microcom Network Protocol
MPEG,Moving Pictures Experts Group
MPLS,Multi-Protocol Label Switching
MPP,Massive Parallel Processing
MS-DOS,MicroSoft Disk Operating System
MSMA,Microsoft Service Management Automation
MSTSC,Microsoft Terminal Service Client
MVT,Multiprogramming with Variable Tasks
MX,Mail Exchange
NACK,Negative ACKnowledgement
NAT,Network Address Translation
NDA,Nondisclosure Agreement
NFS,Network File System
NI,Natural Intelligence
NIC,Network Interface Card
NICNET,National Informatics Center NETwork
NLNN,Non-Learning Neural Networks
NLP,Natural Language Processing
NLU,Natural Language Understanding
NOS,Network Operating System
NPS,Net Promoter Score
NS,Name Server
NSG,Network Security Group
NTFS,New Technology File System
OCR,Optical Character Recognition
OLA,Operational-level Agreement
OLAP,Online Analytical Processing
OLTP,Online Transaction Processing
OMR,Optical Mark Reader
OS,Operating System
OS/2,Operating System/2
OS2,Operating System/2
OSCI,OS Command Injection
OSI,Open System Interconnection
OSS,Open Source Software
OWASP,Open Web Application Security Project
P2V,Physical to Virtual
PAN,Personal Area Network
PAP,Programmablaufplan
PBN,Private Blog Network
PC,Personal Computer
PCI DSS,Payment Card Industry Data Security Standard
PDF,Portable Document Format
PDL,Program Design Language
PDP,Program Data Processor
PHP,Hypertext Preprocessor
PHP,PHP Hypertext Preprocessor
PID,Process Identifier
PIP,Peripheral Interchange Program
PIP,Public IP
PM,Private Message
POI,Point Of Interest
POP,Point Of Presence of CDN
POP,Post Office Protocol
PPC,Pay Per Click
PPTP,Point-to-Point Tunneling Protocol
PR,PageRank
PROM,Programmable Read-Only Memory
PSU,Power Supply Unit
PT,Path Traversal
PaaS,Platform-as-a-Service
QDD,Query Deserves Diversity
QDF,Query Deserves Freshness
QEMU,Quick Emulator
QUIC,Quick UDP Internet Connections
QoS,Quality of Service
RAD,Rapid Application Development
RAID,Redundant Array of Independent Disk
RAM,Random Access Memory
RAM,Random-access Memory
RAT,Remote Administration Tool
RDP,Remote Desktop Protocol
RDSMS,Relational Data Stream Management System
RFI,Remote File Inclusion
RISC,Reduced Instruction Set Computer
RL,Reinforcement Learning
RNN,Recurrent Neural Network
ROI,Return on Investment
ROM,Read Only Memory
RPA,Robotic Process Automation
RRS,Reduced Redundancy Storage
RSS,Really Simple Syndication
RUM,Real-user Measurement
S3 IA,S3 Infrequent Access
S3,Simple Storage System
SAML,Security Assertion Markup Language
SAN,Storage Area Network
SAP,Systeme + Anwendungen + Produkte
SAS,Shared Access Signature
SAST,Static Application Security Testing
SATA,Serial Advanced Technology Attachment
SC,Sub-Committee
SC,Supplementary Content
SCD,Source Code Disclosure
SCM,Search Content Marketing
SCM,Supply Chain Management
SCQL,Structured Card Query Language
SDK,Software Development Kit
SDLC,Software Development Life Cycle
SE,Social Engineering
SEA,Search Engine Advertising
SEM,Search Engine Marketing
SEO,Search Engine Optimization
SEQUEL,Structured English QUEry Language
SERM,Search Engine Reputation Management
SERP,Search Engine Results Page
SFTP,SSH File Transfer Protocol
SGML,Syntax for Generalized Markup Language
SIMM,Single In-line Memory Module
SKid,Script Kiddie
SLA,Service Level Agreement
SM,Social Media
SMA,Service Management Automation
SMB,Server Message Block
SMM,Social Media Marketing
SMO,Social Media Optimization
SMP,Social Media Platform
SMTP,Simple Mail Transfer Protocol
SNA,Systems Network Architecture
SNOBOL,StriNg Oriented and symBOlic Language
SNS,Simple Notification Service
SOA,Start of Authority
SOAP,Simple Object Access Protocol
SPF,Sender Policy Framework
SQL,Structured Query Language
SQLi,SQL Injection
SQS,Simple Queue Service
SR,Speech Recognition
SRAM,Static RAM
SSD,Solid-state Drive
SSE,Server Side Encryption
SSH,Secure Shell
SSI,Small Scale Integration
SSL,Secure Socket Layer
SSO,Single Sign-On
STS,Security Token Service
SVG,Scalable Vector Graphics
SWS,Simple Workflow Service
SaaS,Software-as-a-Service
TB,Tera Bytes
TCP,Transmission Control Protocol
TCP,Transport Control Protocol
TDM,Time Division Multiplexing
TLD,Top-level domain
TLS,Transport Layer Security
TPM,Trusted Platform Module
TPS,Transaction Per Second
TPU,Tensor Processing Unit
TTF,TrueType Font
TTL,Time To Live
TTY,Teletype
ToS,Terms of Service
UA,Universal Analytics
UDP,"	User Datagram Protocol"
UDP,User Datagram Protocol
UEFI,Unified Extensible Firmware Interface
UI/UX,User Interface/User Experience
ULSI,Ultra Large Scale Integration
UPC,Universal Product Code
UPS,Uninterruptible Power Supply
URI,Uniform Resource Identifier
URL,Uniform Resource Locator
USB,Universal Serial Bus
UTF,Unicode Transformation Format
VAN,Value Added Network
VBS,Visual Basic Script
VCR,Video Cassette Recorder
VCS,Veritas Cluster Server
VCS,Version Control Systems
VDI,Virtual Desktop Infrastructure
VDT,Video Display Terminal
VG,Volume Group
VGA,Video Graphics Array
VIP,Virtual IP
VLAN,Virtual Local Area Network
VM,Virtual Machine
VOD,Video-On-Demand
VPC,Virtual Private Cloud
VPG,Virtual Private Gateway
VPN,Virtual Private Network
VPS,Virtual Private Server
VSAT,Very Small Aperture Terminal
VSM,Virtual Supervisor Module
VTL,Virtual Tape Library
VXLAN,Virtual Extensible Local Area Network
VoIP,Voice over Internet Protocol
WAF,Web Application Firewall
WAN,Wide Area Network
WAP,Web Application Protection
WAP,Wireless Application Protocol
WINS,Windows Internet Name Service
WLAN,Wireless Local Area Network
WLL,Wireless Local Loop
WMI,Windows Management Instrumentation
WORM,Write Once Read Many
WP,WordPress
WPAN,Wireless Personal Area Network
WWW,World Wide Web
WYSIWYG,What You See Is What You Get
WiMAX,Worldwide Interoperability for Microwave Access
X.400,Electronic Mail Protocol
X.500,Directory Server Protocol
XHTML,Extensible Hypertext Markup Language
XHTML,eXtensible HyperText Markup Language
XLS,Excel File
XML,Extensible Markup Language
XML,eXtensible Markup Language
XSD,XML Schema Definition
XSS,Cross-site Scripting
YB,Yottabyte
ZB,Zetabyte
ZMOT,Zero Moment of Truth
act,actual
alloc,allocate
alt,alternative/alternate
app,application
arg,argument
attr,attribute
bg,background
bin,binary
bool,boolean
btn,button
c,character
calc,calculate
cb,callback
ch,channel
clr,clear
cmd,command
cmp,compare
cnt,counter
col,column
com,common
com,communication
cont,continue
conv,conversation
coord,coordinate
cord,coordinate
cos,cosines
ctrl,control
cur,current
db,database
dec,decimal
def,default
del,delete
dest,destination
dev,device
diff,difference
dis,disable
disp,display
drv,driver
dsc,descriptor
e.g.,example
en,enable
eq,equal
err,error
f,file
f,function
fp,function pointer
func,function
h,height
hex,hexadecimal
hor,horizontal
i,integer iterator
iSCSI,Internet Small Computer Storage Interface
id,identifier
img,image
info,information
init,initialize
int,integer
le,less
len,length
lib,library
ll,linked list
lt,less then
math,mathematics
max,maximum
mcu,microcontroller
mem,memory
mid,middle
min,minimum
misc,miscellaneous
mng,manager
msg,message
n,no
ne,not equal
num,number
obj,object
ord,order
os,operating system
p,pointer
param,parameter
pic,picture
pos,position
pred,prediction
prev,previous
proc,process
ptr,pointer
px,pixel
qry,query
r,radius
recv,receive
rem,remove
req,required/requested
res,result
ret,return
rev,revision
sem,semaphore
sin,sine
src,source
str,string
t,type
temp,temperature
temp,temporary
tgl,toggle
tmp,temperature
tmp,temporary
tmr,timer
txt,text
v,version
val,value
var,variable
vert,vertical
w,width
win,window
y,yes
